common.headerText_homepage					Tracking
common.tracking					Tracking
common.trackingTab					Tracking
common.homepageSearchDescription					Saisir un numéro de conteneur,  de connaissement ou de booking
common.homepagePreviousTab					Recherches précédentes
common.homepageBookmarkTab					Favoris
common. bookmarks					Favoris
common.bookmarks_android					Favoris
common.voyage					Voyage
common.routing					Routing
common.labelMoreHeader					Autres…
common.more					Autres…
common.homepageCancelButton					Annuler
common. helpPageBack					Annuler
common.vd_fastsearch_page_cancel					Annuler
common.bl					Connaissement
common.booking					Booking
common.container					Conteneur
common.multipleSearchDescription					Pour lancer une recherche avec plusieurs conteneurs, séparez les références par des virgules
common.helpPageOk					Ok
common.labelSettingsHelp					Aide
common.labelSettings					Paramètres
common. labelSettingsHeader					Paramètres
common.settingsLanguageHeader					Paramètres
common.setting_android					Paramètres
msg.ER_TEXT_6					Merci d'entrer un numéro afin d'effectuer une recherche
msg.ER_TEXT_7					La référence n'est pas valide. Merci de vérifier.
msg.TODO					Pas de résultats. Merci d'essayer une nouvelle recherche.
msg.ER_TEXT_8					Vous pouvez entrer jusqu'à 3 références de conteneurs.
msg.ER_TEXT_15					Pas de réseau détecté. Merci de vérifier votre connexion réseau.
msg.headerText_containerresults_fast					Tracking recherche
msg.headerText_containerresult					Résultat Tracking
container-status.ETA_DISCHARGE					Déchargement
container-status.ETA_FINAL_DISCHARGE					Arrivée au port de déchargement
container-status.ETA_LOAD					Départ
container-status.FCR					Sortie de flotte plein
container-status.FDF					DI in full
container-status.FRO					Retour en flotte
container-status.FSO					Sortie de flotte
container-status.IDF					Déchargé
container-status.IFC					Le conteneur au destinataire
container-status.IFP					Plein à quai pour dépotage
container-status.IIT					Réceptionné pour transfert à l'Export
container-status.IRI					Réceptionné pour transfert à l'Import
container-status.MCR					Sortie de flotte vide
container-status.MEA					Vide au dépôt
container-status.MED					Vide au dépôt
container-status.MEI					Vide au dépôt
container-status.MES					Vide pour chargement à quai
container-status.MOH					Entrée dans la flotte vide
container-status.MOS					Livré vide au Chargeur
container-status.MSF					Conteneur client plein
container-status.MSO					Conteneur client vide
container-status.PSE					Le container est sur rail pour l'Export
container-status.PSI					Le container est sur rail pour l'Import
container-status.RSF					SOC plein
container-status.RSM					SOC vide
container-status.TAF					Le container est en transit pour l'Import
container-status.TDF					Déchargé, en transbordement
container-status.TOF					Chargé à bord
container-status.TPF					Le container est en transit pour l'Export
container-status.XOF					Chargé à bord
container-status.XRX					Prêt pour chargement
container-status.FAS					Plein chez le chargeur
container-status.MAS					Vide chez le chargeur
container-status.FAC					Plein chez le réceptionnaire
container-status.MAC					Vide chez le receptionnaire
container-status.MEF					Vide au dépôt
container-status.MEM					Vide au dépôt
container-status.MEG					Vide au dépôt
msg.ER_TEXT_1					non trouvé, déjà vidé ou retourné au dépôt
container-tracking.Not required					Détails Tracking
container-tracking.pastMoves					Mouvement effectué
container-tracking.provisionalMoves					Mouvements prévisionnels
msg.ER_TEXT_PR					Les heures affichées sont les heures locales. Les mouvements prévisionnels sont donnés à titre indicatif exclusivement, sans garantie, et peuvent subir des changements, à tout moment, sans préavis.
container-tracking.customerNumber_label					Numéro Douanes
help.labelCountryHeader					Pays
help.help_country					Pays
help.helpPageDescription					Pour trouver la solution sur-mesure à vos demandes, vous pouvez contacter notre service client.
help.headerTextHelp					Aide
help.helpPageInputName					Nom
help.staticSubtopicTxt					Sous-catégorie
help.helpPageInputEmail					eMail
help.staticTopicTxt					Catégorie
help.helpPageInputReference					Référence
help.helpPageInputMessage					Message
help.helpPageInputSubject					Objet
msg.ER_TEXT_13					Des champs obligatoires sont manquants
msg.ER_TEXT_12					Problème avec le système Contact. Merci d'essayer à nouveau.
settings.labelSettingsLegelTerm					By accessing this CMA CGM Mobile Device Application (“Application”) on your mobile device, you accept, without limitation, the following legal conditions.<BR>CMA CGM may, at any time and without prior notice, modify these legal terms.<BR>By accessing this Application, you accept these modifications. You are therefore advised to check the legal terms regularly to be aware of the latest modifications.<BR>• CMA CGM may, at any time and without prior notice, change or update the Information contained in this Application as well as its services detailed therein. You should check this Application regularly, or contact our local office.<BR>• Unless otherwise specified, or in the case of press releases, all information, articles and pictures are protected by copyright and cannot be used without prior written agreement from CMA CGM.<BR>• In no case or no event, shall CMA CGM or any third party connected with CMA CGM, be liable for any direct or indirect damage, connected with or derived from accessing this Application and/or using the information contained therein.<BR>• By offering this service, CMA CGM intends to update it regularly. However no representation is made or warranty given (either express or implied) as to the completeness or accuracy of the information it contains.<BR>• By giving information through this Application, you agree that this information can be given to an interested party solely for sales purposes, and that CMA CGM will not be liable for any direct or indirect loss arising from wrong or unjustified transferal of information to a third party, nor for the unauthorized access of any third party to this information. Equally, CMA CGM will not be liable for any inaccurate or confidential information provided in the framework of this service.<BR>• Any data, comment and/or suggestion that each User contributes to this Application will become the property of CMA CGM and may be used, without restriction, within the scope of the CMA CGM Group's activities. These comments and/or suggestions will not be treated as confidential.<BR>• CMA CGM measures use of this Application. We record your IP address, your device manufacturer and model, and your device operating system version. This data doesn’t allow identifying personals. Only forms you decide to fill are transmitted to CMA CGM.<BR>• In no case or no event, shall CMA CGM, its subsidiaries, affiliates, partners, agents, representatives, and any person involved in the elaboration of this Application, be liable for any decision made or action taken after consulting this Application, or for any direct or indirect loss, including but not limited to sales, loss of profit or information, incurred from accessing this Application and/or acting on the information contained therein.<BR>• CMA CGM will not be liable for any damage resulting from a virus on your mobile devise. Nor will it be liable for any damage resulting from unauthorized access by any third party to any information, data or access code contained in this Application.<BR>• Password protected areas of this Application are available exclusively to authorized people. Any unauthorized person accessing these areas will be prosecuted.<BR>• This Application is protected by French law. Any dispute arising in relation to its use will take place under French jurisdiction.<BR>• CMA CGM complies with the Office of Foreign Assets Control (OFAC) of the US Department of the Treasury program’s regarding economic and trade exchange involving an American entity. All details are available on the OFAC’s web site: http://www.treas.gov/offices/enforcement/ofac/.For any details, please contact CMA CGM Group’s Data Protection Officer: ho.dpo@cma-cgm.com.<BR>• This Application and its use are protected by French law, particularly articles 38, 39 and 40 of the Law 78-17 of the 6th January 1978 concerning data protection and privacy.<BR>Any dispute arising out of or related to the use of this Application shall be subject to the exclusive jurisdiction of French courts.<BR>CMA CGM Marseille Head Office, 4, quai d'Arenc 13235 Marseille cedex 02 France, Registration Number 562 024 422 Marseille
settings.labelSettingsCMAadd1					CMA CGM Marseille Siège Social
settings.labelSettingsCMAadd2					4, quai d'Arenc
settings.labelSettingsCMAadd3					13235 Marseille cedex 02 France
settings.labelSettingsLegelHeader					Mentions légales
settings.labelSettingsFollowus					Suivez nous
settings.labelFb					Facebook
settings.labelTwit					Twitter
settings.labelSettingsAbout					A propos de
settings.langLabel 					Changer la langue
settings.appVersionCSmart 					Version App
